keyword,ESG_dimension,frequency,source
employee,Social,98384,ESG Sustainability Reports
risk,Governance,64645,ESG Sustainability Reports
energy,Environmental,54235,ESG Sustainability Reports
community,Social,53970,ESG Sustainability Reports
management,Governance,51008,ESG Sustainability Reports
emission,Environmental,49551,ESG Sustainability Reports
water,Environmental,43389,ESG Sustainability Reports
customer,Social,42433,ESG Sustainability Reports
impact,ESG_Mixed,41170,ESG Sustainability Reports
sustainability,Environmental,40167,ESG Sustainability Reports
safety,Social,38267,ESG Sustainability Reports
health,Social,38118,ESG Sustainability Reports
supplier,Social,38009,ESG Sustainability Reports
environmental,Environmental,37003,ESG Sustainability Reports
climate,Environmental,31548,ESG Sustainability Reports
policy,Governance,31069,ESG Sustainability Reports
corporate,Governance,30505,ESG Sustainability Reports
reduce,Environmental,28834,ESG Sustainability Reports
opportunity,Governance,28469,ESG Sustainability Reports
board,Governance,28417,ESG Sustainability Reports
training,Social,27059,ESG Sustainability Reports
diversity,Social,24934,ESG Sustainability Reports
strategy,Governance,24412,ESG Sustainability Reports
waste,Environmental,24213,ESG Sustainability Reports
governance,Governance,22871,ESG Sustainability Reports
compliance,Governance,22119,ESG Sustainability Reports
material,Environmental,21578,ESG Sustainability Reports
resource,Environmental,21542,ESG Sustainability Reports
human,Social,20932,ESG Sustainability Reports
carbon,Environmental,18003,ESG Sustainability Reports
responsibility,Governance,16959,ESG Sustainability Reports
inclusion,Social,14632,ESG Sustainability Reports
renewable,Environmental,13742,ESG Sustainability Reports
education,Social,11541,ESG Sustainability Reports
audit,Governance,8276,ESG Sustainability Reports
recycle,Environmental,8119,ESG Sustainability Reports
worker,Social,7804,ESG Sustainability Reports
labor,Social,6810,ESG Sustainability Reports
recycling,Environmental,5388,ESG Sustainability Reports
transparency,Governance,4959,ESG Sustainability Reports
accountability,Governance,2893,ESG Sustainability Reports
biodiversity,Environmental,2752,ESG Sustainability Reports
wellbeing,Social,1412,ESG Sustainability Reports
pollution,Environmental,1127,ESG Sustainability Reports
ethics,Governance,2,ESG Sustainability Reports
