material,frequency,source
polyester,148,Fast Fashion Material Composition Dataset
elastane,91,Fast Fashion Material Composition Dataset
viscose,86,Fast Fashion Material Composition Dataset
cotton,76,Fast Fashion Material Composition Dataset
polyamide,15,Fast Fashion Material Composition Dataset
lyocell,12,Fast Fashion Material Composition Dataset
nylon,10,Fast Fashion Material Composition Dataset
linen,5,Fast Fashion Material Composition Dataset
acrylic,4,Fast Fashion Material Composition Dataset
metallic fiber,3,Fast Fashion Material Composition Dataset
wool,3,Fast Fashion Material Composition Dataset
modal,2,Fast Fashion Material Composition Dataset
camel hair,1,Fast Fashion Material Composition Dataset
cupro,1,Fast Fashion Material Composition Dataset
