esg_dimension,esg_indicator,indicator_group,definition,academic_source,measurement_objective,amazon_candidate_dataset,amazon_candidate_columns,expected_evidence,initial_assessment,measurement_variable,feature_engineering_method,aggregation_level,evidence_source,feature_name
Environmental,Sustainable Materials,High-Priority Indicator,Tỷ lệ sử dụng các loại nguyên vật liệu có tác động môi trường thấp trong vòng đời sản phẩm.,"SASB Standards, Circular Fashion Research",Đánh giá mức độ sử dụng vật liệu bền vững.,Products Dataset,"material, item_desc, title",Sustainable Material,Strong Candidate,sustainable_materials,Dictionary Matching,Product Level,Sustainable Material Dictionary,sustainable_materials_count
Environmental,Eco Labels & Certifications,High-Priority Indicator,Sự hiện diện của các chứng nhận sinh thái độc lập minh chứng cho quy trình sản xuất thân thiện môi trường.,"GRI Standards, ISO 14001",Đánh giá việc sở hữu chứng nhận sinh thái uy tín.,Products Dataset,"title, item_desc",Eco Label,Strong Candidate,eco_labels_and_certifications,Dictionary Matching,Product Level,Eco Label Dictionary,eco_labels_and_certifications_count
Environmental,Sustainable Packaging,High-Priority Indicator,Mức độ tối ưu hóa bao bì thông qua việc giảm thiểu kích thước hoặc sử dụng vật liệu tự hủy sinh học.,"SASB Standards, Literature Review",Đánh giá mức độ thân thiện môi trường của bao bì đóng gói.,Products Dataset + Reviews Dataset,"item_desc, review_text",ESG Keyword,Moderate Candidate,sustainable_packaging,Keyword Matching,Product Level,ESG Keyword Dictionary,sustainable_packaging_count
Environmental,Recycled Materials,High-Priority Indicator,Tỷ lệ cấu thành sản phẩm từ các nguồn xơ sợi hoặc vật liệu đã qua tái chế post-consumer hoặc pre-consumer.,"Circular Fashion Research, GRI Standards",Xác định tỷ lệ thành phần tái chế trong cấu trúc sản phẩm.,Products Dataset,"material, item_desc",Sustainable Material,Strong Candidate,recycled_materials,Dictionary Matching,Product Level,Sustainable Material Dictionary,recycled_materials_count
Environmental,Organic Materials,High-Priority Indicator,Sử dụng các loại sợi tự nhiên được canh tác không dùng hóa chất tổng hợp độc hại.,"Literature Review, GRI Standards",Xác định sự hiện diện của sợi hữu cơ (như organic cotton).,Products Dataset,"material, item_desc, title",Sustainable Material,Strong Candidate,organic_materials,Dictionary Matching,Product Level,Sustainable Material Dictionary,organic_materials_count
Environmental,Product Durability,High-Priority Indicator,"Độ bền vật lý và cấu trúc của sản phẩm thời trang, kéo dài vòng đời sử dụng để giảm thiểu rác thải.","Circular Fashion Research, Literature Review",Đánh giá tuổi thọ và độ bền vững cấu trúc của sản phẩm qua phản hồi.,Reviews Dataset,"review_text, rating",Review Evidence,Strong Candidate,product_durability,Review Keyword Matching,Review Level,Customer Reviews,product_durability_evidence_count
Environmental,Packaging Waste Reduction,Supporting Indicator,Các nỗ lực từ phía nhà bán hàng nhằm cắt giảm lượng rác thải bao bì nhựa dùng một lần.,"UN SDGs, Literature Review",Ghi nhận phản hồi tích cực/tiêu cực về lượng rác bao bì dư thừa.,Reviews Dataset,review_text,Complaint Pattern,Moderate Candidate,packaging_waste_reduction,Complaint Matching,Review Level,Complaint Dictionary,packaging_waste_reduction_complaint_count
Environmental,Circular Fashion / Recyclability,Supporting Indicator,Khả năng tái chế của sản phẩm sau khi hết vòng đời sử dụng dựa trên cấu trúc vật liệu đơn dòng (mono-material).,Circular Fashion Research,Đánh giá tiềm năng tái chế của sản phẩm.,Products Dataset,"material, item_desc",Keyword Matching,Moderate Candidate,circular_fashion_recyclability,Keyword Matching,Product Level,ESG Keyword Dictionary,circular_fashion_recyclability_count
Social,Product Quality,High-Priority Indicator,Mức độ hoàn thiện và chất lượng cốt lõi của sản phẩm đáp ứng kỳ vọng tiêu dùng xã hội.,"Literature Review, GRI Standards",Đánh giá tính nhất quán về chất lượng sản phẩm.,Reviews Dataset,"rating, review_text",Rating Pattern,Strong Candidate,product_quality,Rating-based Calculation,Review Level,Product Ratings,product_quality_score
Social,Product Safety,High-Priority Indicator,Đảm bảo sản phẩm không chứa các hóa chất độc hại gây dị ứng hoặc gây nguy hiểm vật lý cho người mặc.,"OECD Guidelines, SASB Standards",Đánh giá mức độ an toàn sản phẩm.,Reviews Dataset,"review_text, verified_purchase",Complaint Pattern,Strong Candidate,product_safety,Complaint Matching,Review Level,Complaint Dictionary,product_safety_complaint_count
Social,Customer Satisfaction,High-Priority Indicator,Mức độ hài lòng tổng thể của người tiêu dùng đối với giá trị xã hội và công năng sản phẩm.,Literature Review,Phân tích xu hướng hài lòng của khách hàng.,Reviews Dataset,"rating, helpful_vote",Rating Pattern,Strong Candidate,customer_satisfaction,Rating-based Calculation,Review Level,Product Ratings,customer_satisfaction_score
Social,Customer Service,High-Priority Indicator,"Chất lượng tương tác, hỗ trợ và giải quyết khiếu nại của nhà bán hàng đối với người mua.",Literature Review,Đánh giá chất lượng dịch vụ khách hàng.,Reviews Dataset,review_text,Review Evidence,Moderate Candidate,customer_service,Review Keyword Matching,Review Level,Customer Reviews,customer_service_evidence_count
Social,Product Comfort,High-Priority Indicator,"Trải nghiệm thể chất và sự thoải mái của phom dáng, chất liệu vải đối với người dùng.",Literature Review,Xác định mức độ thoải mái khi sử dụng sản phẩm thời trang.,Reviews Dataset,"review_text, rating",Frequency Evidence,Strong Candidate,product_comfort,Frequency-based Calculation,Review Level,Customer Reviews,product_comfort_count
Social,Worker Welfare,Supporting Indicator,"Sự tôn trọng và đảm bảo các quyền lợi cốt lõi về đời sống thể chất, tinh thần của người lao động.","GRI Standards, OECD Guidelines",Kiểm tra các tuyên bố công khai liên quan đến phúc lợi nhân viên.,Products Dataset,"item_desc, brand",ESG Keyword,Needs Further Validation,worker_welfare,Keyword Matching,Product Level,ESG Keyword Dictionary,worker_welfare_count
Social,Fair Labor Practices,Supporting Indicator,"Cam kết thực hiện các thực hành lao động công bằng, không cưỡng bức và không sử dụng lao động trẻ em.","OECD Guidelines, UN SDGs",Dò tìm các chứng nhận hoặc tuyên bố về lao động công bằng.,Products Dataset,item_desc,Rule-based Matching,Needs Further Validation,fair_labor_practices,Rule-based Matching,Product Level,Rule-based Rules,fair_labor_practices_count
