seller_name,environmental_keyword_count,sustainable_material_count,eco_label_count,product_quality_complaint_count,product_damage_complaint_count,product_safety_complaint_count,customer_service_complaint_count,counterfeit_complaint_count,governance_keyword_count
101Dealz,0.0,1.6666666666666667,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0,0.5
123(EXOPRT WAREHOUSE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24 Caret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
"33,000ft outdoor",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5Mayi Official,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ABAFIP Store,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ACT Apparel,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.55
AKAWOOKO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AMASALES20,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ANRABESS,0.0,0.6666666666666666,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.5666666666666667
AOMONISTORE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Active Supply,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Adibosy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Adokoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alimens & Gentle,0.0,1.2647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.7794117647058824
Amazon.com,0.0,0.6386223372486561,0.02389010551463269,0.007127214811865419,0.007047581126816644,0.002787178976707147,0.0007963368504877563,0.0007963368504877563,0.4332868803503882
Amnnchyabf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angel Seller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Angyun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
ArtBlankets,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Artifacts Avenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Artisanates,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Asics America Corporation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Atlantic Coast Promotional,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Aulemen,0.0,3.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0
Automet-US,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.888
Avanova,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BETTE BOUTIK Fashion,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BMJL US,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.7
BMJLUSAFashion,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BOOJO Flagship Store,0.0,0.4750593824228028,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BORIFLORS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
BTFBM-US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Baby Mioglrie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Baohui Fashion Store,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BrandsDirect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
C8N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMEL CROWN DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CHOUYATOU,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
CONKENDboxerbriefs,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
COOFANDY,0.0,0.5554016620498615,0.0,0.015235457063711912,0.013850415512465374,0.0,0.0,0.0,0.7673130193905817
COOFANDY Online,0.0,1.2,0.0,0.0,0.04,0.0,0.0,0.0,0.74
CRZ YOGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2897196261682243
CUPSHE,0.0,0.9900990099009901,0.0,0.09900990099009901,0.0,0.0,0.0,0.0,1.0
Charm City Run,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Chicgal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Close range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cupshe Apparel,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DEEKEY-US,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DHARVI CLOTHING HUB.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DealsN'more,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
DerYa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182
DistributionX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Dokotoo Flagship Shop,0.0,0.5515933232169955,0.0,0.007587253414264037,0.0,0.0,0.0,0.0,0.6585735963581184
Downtown Discountz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dp Fami,0.0,0.13210039630118892,0.0,0.0,0.0,0.0,0.0,0.0,0.8678996036988111
