seller_name,environmental_keyword_count,sustainable_material_count,eco_label_count,product_quality_complaint_count,product_damage_complaint_count,product_safety_complaint_count,customer_service_complaint_count,counterfeit_complaint_count,governance_keyword_count,E_score,S_score,G_score,ESG_reference_score,ESG_reference_score_100,ESG_rank
101Dealz,0.0,0.5555555555555556,0.0,1.0,0.9333333333333333,0.666666666666667,1.0,1.0,0.5,0.3518230516675307,0.7818374558303889,0.869770580296896,0.5118810341188104,51.18810341188104,15
123(EXOPRT WAREHOUSE),0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.35706429357064284,35.70642935706429,62
24 Caret,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1,0.0,1.0,0.765587044534413,0.3396960303969602,33.969603039696025,85
"33,000ft outdoor",0.0,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2110938310005184,1.0,1.0,0.4927840549278404,49.27840549278404,16
5Mayi Official,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2110938310005184,1.0,1.0,0.4927840549278404,49.27840549278404,16
ABAFIP Store,0.0,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4221876620010368,1.0,1.0,0.6285038162850379,62.85038162850379,5
ACT Apparel,0.0,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,0.55,0.1055469155002592,1.0,0.8827935222672065,0.4162400426624004,41.624004266240036,50
AKAWOOKO,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.35706429357064284,35.70642935706429,62
AMASALES20,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47159149818558843,1.0,1.0,0.6602673066026729,66.02673066026729,4
ANRABESS,0.0,0.2222222222222222,0.0,0.8333333333333335,0.9333333333333333,1.0,1.0,1.0,0.5666666666666667,0.14072922066701227,0.949505300353357,0.8871345029239766,0.4248930662489306,42.48930662489306,43
AOMONISTORE,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2110938310005184,1.0,0.8437246963562753,0.481205212812052,48.1205212812052,21
Active Supply,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.0,1.0,0.7916329284750337,0.3416258374162583,34.16258374162583,81
Adibosy,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2110938310005184,1.0,1.0,0.4927840549278404,49.27840549278404,16
Adokoo,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.35706429357064284,35.70642935706429,62
Alimens & Gentle,0.0,0.42156862745098034,0.0,1.0,1.0,1.0,1.0,1.0,0.7794117647058824,0.26697160979477325,1.0,0.9425458442486306,0.5244529468621764,52.445294686217636,13
Amazon.com,0.0,0.2128741124162187,0.0238901055146326,0.964363925940673,0.9859048377463668,0.9860641051164645,0.9956201473223176,0.992036631495123,0.4332868803503882,0.14103255248769087,0.9803959172963381,0.8468873680395422,0.4308472450916696,43.08472450916696,40
